ID,Area,User Story,Expected Behaviour (derived from code),Verification Method,Test Result (Phase 2),Errors Found,Fix Status (Phase 3),Retest (Phase 4)
A1,Auth,"As a visitor, I want to sign in with just my email so I don't need a password","/login posts to sendMagicLink; validates email regex, lowercases/trims, then signIn('resend', redirectTo:/entry); shows 'Sending…' then redirects to /login/check-email","Static trace + build","PASS (compiles; logic sound)","None","N/A","BLOCKED: magic-link delivery needs live Resend"
A2,Auth,"As an operator, I want sign-in abuse-limited so my email/Resend reputation is safe","sendMagicLink counts loginAttempts per email (max 3) and per IP (max 10) in a 10-min window; over limit returns friendly error and does not send","Static trace; count logic exercised via PGlite","PASS","None","N/A","PASS (integration: countLoginAttempts/recordLoginAttempt path validated)"
A3,Auth,"As a user entering a bad email, I want a clear error","EMAIL_RE rejects malformed input; returns 'Enter a valid email address.'","Static trace","PASS","None","N/A","N/A"
A4,Auth,"As a user, after requesting a link I see a confirmation page","/login/check-email renders 'Check your email' card","Static trace","PASS","None","N/A","N/A"
A5,Auth,"As a signed-in user, I can sign out","SignOutButton -> signOutAction -> signOut(redirectTo:/)","Static trace","PASS","None","N/A","BLOCKED: needs live session"
A6,Auth,"As a visitor vs member, the nav reflects my state","AuthNav: no session -> 'Sign in'; session -> 'My entry'; admin email -> '+Admin'","Static trace","PASS","None","N/A","BLOCKED: needs live session"
A7,Auth,"As the auth system, magic-link callbacks are handled","/api/auth/[...nextauth] mounts NextAuth handlers (Resend provider, JWT, Drizzle adapter)","Static trace + build","PASS (route builds)","None","N/A","BLOCKED: needs live auth"
E1,Entry,"As a signed-in user, I can create my entry profile","/entry requires session (redirect /login); ProfileForm -> saveProfile validates displayName (required, <=60), upserts entrant by normalized email","Static trace + PGlite integration","PASS","None","N/A","PASS (integration: upsertEntrantProfile)"
E2,Entry,"As a user, I can edit my profile until lock","saveProfile blocked when isLocked(); pre-lock upsert updates row","Static trace + PGlite","PASS","None","N/A","PASS (integration: re-upsert updates row)"
E3,Entry,"As a user, I build a 5-player lineup via typeahead","PlayerPicker fetches /players.json, filters by searchName substring client-side, max 8 results, add up to 5, remove","Static trace","PASS","None","N/A","BLOCKED: needs browser"
E4,Entry,"As a user, my lineup must be exactly 5 distinct valid players","saveLineup: isLocked guard; requires profile; Set size==5 and length==5; getPlayersByIds returns 5; else error","Static trace + PGlite","PASS","None","N/A","PASS (integration: replacePicks persists 5)"
E5,Entry,"As a user, my submission time is set once and not reset by edits","replacePicks sets submittedAt via coalesce(submittedAt, now()) so the tie-break clock is fixed at first confirm","Unit + PGlite integration","PASS","None","N/A","PASS (integration: submittedAt unchanged after edit)"
E6,Entry,"As a user, after lock my entry is frozen and read-only","saveProfile/saveLineup return locked error; /entry post-lock shows read-only final lineup","Static trace","PASS","None","N/A","BLOCKED: lock-time toggle needs runtime"
E7,Entry,"As a late user with no entry, after lock I'm told entries closed","/entry post-lock with no entrant -> 'Entries are closed' card","Static trace","PASS","None","N/A","N/A"
E8,Entry,"As a returning user, my saved picks prefill the editor","getEntrantPickIds -> PlayerPicker initialPlayerIds; resolved against players.json","Static trace","WARN","Picks whose player_id is missing from players.json are silently dropped (user sees <5, blocked on save with generic error)","Documented (low sev, edge)","BLOCKED: needs browser"
S1,Scoreboard,"As anyone, I can view the public scoreboard","/scoreboard ISR (revalidate 60); pre-lock reads submitted entrants; post-lock reads precomputed leaderboard","Static trace + PGlite","FAIL -> fixed","Pre-lock list read the cron-populated leaderboard, so a just-submitted user did not appear for up to 24h","FIXED: pre-lock reads entrants table directly (getEnteredEntrants)","PASS (integration: submitted entrant appears with no compute)"
S2,Scoreboard,"As a viewer pre-lock, I see who entered but no totals/picks","Pre-lock rows show display name + 'Entered' badge; no totals, no links","Static trace + build","PASS","See S1","Covered by S1 fix","PASS"
S3,Scoreboard,"As a viewer post-lock, I see totals, state and rank","Post-lock rows show total/21, StatePill, rank, and link to /entrants/[id]","Static trace + PGlite","PASS","None","N/A","PASS (integration: getScoreboard returns total/state/rank)"
S4,Scoreboard,"As a viewer post-lock, I can open an entrant's lineup","/entrants/[id]: notFound() pre-lock; post-lock shows lineup with per-player season TDs","Static trace + PGlite","PASS","None","N/A","PASS (integration: getLineup returns 5 with totals)"
S5,Scoreboard,"As a viewer pre-lock, entrant pages stay private","/entrants/[id] calls notFound() when !isLocked()","Static trace","PASS","None","N/A","N/A"
S6,Players,"As a viewer, I can see a player's weekly TD log and season total","/players/[id]: getPlayer filters playerWeekStats by currentSeason(); weekly rush/rec rows + total","Static trace + PGlite","PASS","None","N/A","PASS (integration: getPlayer season-scoped total)"
S7,Players,"As a viewer post-lock, I can see who picked a player","getPlayerPickers only called when isLocked(); 'Picked by' card hidden pre-lock","Static trace","PASS","None","N/A","BLOCKED: lock toggle needs runtime"
S8,Teams,"As a viewer, I can browse all teams","/teams (revalidate 3600) lists distinct non-null team codes","Static trace + build","PASS","None","N/A","BLOCKED: query not in integration set (low risk)"
S9,Teams,"As a viewer, I can see a team's roster and totals","/teams/[team] upcases code; getTeamPlayers returns roster sorted by season total desc; notFound if empty","Static trace","WARN -> fixed","Card heading misrepresented the roster (claimed scorers-only)","FIXED: heading changed to 'Roster — non-passing TDs this season'","PASS (static + build)"
SC1,Scoring,"As the game, a lineup's total is the sum of 5 players' non-passing TDs","scoreLineup sums nonPassingTd (rush_td+rec_td upstream)","Unit + PGlite","PASS","None","N/A","PASS (31 tests)"
SC2,Scoring,"As the game, lineup state is invalid/short/blackjack/bust","scoreLineup: any 0 -> invalid; >21 bust; ==21 blackjack; else short (20=short,22=bust)","Unit test","PASS","None","N/A","PASS"
SC3,Scoring,"As the game, only valid non-bust lineups can win; ties -> earliest submit","rankEntrants: pool=valid non-bust; sort by total desc then submittedAt asc","Unit + PGlite","PASS","None","N/A","PASS"
SC4,Scoring,"As the game, if every valid lineup busts, lowest bust wins","rankEntrants fallback: pool=valid busts; sort total asc then submittedAt; invalid excluded","Unit test","PASS","None","N/A","PASS"
ST1,Stats,"As the game, weekly NFL TD stats are ingested from Sleeper","fetchWeekStats hits Sleeper stats endpoint; maps rush_td/rec_td; ingestWeek upserts","Static trace + PGlite (fetch stubbed)","PASS","None","N/A","PASS (integration: ingestWeek via stubbed Sleeper payload)"
ST2,Stats,"As the game, unknown players don't abort ingestion","ingestWeek filters scoring to ids present in players (FK-safe)","Static trace + PGlite","PASS","None","N/A","PASS (integration: unknown id + team row dropped)"
ST3,Stats,"As the game, rescinded TDs are corrected downward","ingestWeek deletes rows for the week whose player is no longer scoring","Static trace + PGlite","PASS","None","N/A","PASS (integration: rescinded player row removed)"
ST4,Stats,"As the game, re-running ingestion is safe (idempotent)","onConflictDoUpdate on (player,season,week) overwrites, never accumulates","Static trace + PGlite","PASS","None","N/A","PASS (integration: re-run overwrites)"
ST5,Stats,"As the game, the leaderboard is precomputed from picks+stats","computeLeaderboard: season-scoped totals, builds rankable (submitted & 5 picks), upserts leaderboard","Static trace + PGlite","PASS","None","N/A","PASS (integration: blackjack lineup ranked #1)"
ST6,Stats,"As Vercel cron, a daily refresh runs securely","/api/cron/refresh-stats requires Bearer CRON_SECRET; ingests season + recomputes","Static trace + build","PASS","None","N/A","BLOCKED: needs deploy"
C1,Cron/Admin,"As an admin, I can refresh stats on demand","/admin RefreshButton -> refreshNow (requireAdmin) -> ingest + recompute + revalidate","Static trace + PGlite (job logic)","PASS","None","N/A","PASS (integration: ingest+compute path); admin gate needs session"
AD1,Admin,"As an admin, only allowlisted emails can access /admin","isAdminEmail(env ADMIN_EMAILS, lowercased); page redirects non-admins; actions re-check requireAdmin","Static trace","PASS","None","N/A","BLOCKED: needs live session"
AD2,Admin,"As an admin, I see entrant/submission counts","getAdminStats: count(*) and count(submittedAt)","Static trace + PGlite","PASS","None","N/A","PASS (integration: counts correct)"
AD3,Admin,"As an admin, I can see the lock state and config","/admin shows Locked/Open + lock timestamp, or a loud warning when LOCK_AT unset","Static trace + build","PASS","None","N/A","PASS (build)"
AD4,Admin,"As an admin, I can review and triage feedback","listFeedback newest-first; FeedbackStatusSelect -> updateFeedbackStatus (requireAdmin)","Static trace + PGlite (insert/list)","PASS","None","N/A","PASS (integration: feedback persisted/queried)"
F1,Feedback,"As a user, I can submit feedback from any page","FeedbackForm posts message + pathname context -> submitFeedback inserts row","Static trace + PGlite","PASS","None","N/A","PASS (integration: insertFeedback)"
F2,Feedback,"As an operator, feedback is rate-limited against spam","Cookie cooldown (UX) + server-side DB check by email/IP in 60s window","Static trace + PGlite","PASS","None","N/A","PASS (integration: countRecentFeedback by email & IP)"
F3,Feedback,"As an operator, I'm emailed new feedback","sendFeedbackDigest via Resend when AUTH_RESEND_KEY + FEEDBACK_NOTIFY_EMAIL set; no-op otherwise","Static trace","PASS","None","N/A","BLOCKED: needs live Resend"
F4,Feedback,"As a user, one lineup per email regardless of casing","Email normalized (trim+lowercase) at query boundary; unique(email)","Static trace + PGlite","PASS","None","N/A","PASS (integration: mixed-case reuse same row)"
P1,21 Generator,"As a player, I get 5 random teams each visit","/play force-dynamic; shuffle(listTeams) Fisher-Yates; picks first 5 teams with >=1 eligible scorer","Static trace + build","PASS","None","N/A","PASS (build)"
P2,21 Generator,"As a player, I pick one player per team with totals hidden","PlayPicker: spin animation, choose() records pick, totals not shown until reveal","Static trace","PASS","None","N/A","BLOCKED: needs browser"
P3,21 Generator,"As a player, the reveal scores my 5 picks vs 21 using 2025 finals","revealPlayLineup validates 5 distinct valid ids; getFinalSeasonTotals(2025); scoreLineup","Static trace + PGlite","PASS","None","N/A","PASS (integration: getFinalSeasonTotals season-isolated)"
P4,21 Generator,"As a player, blackjack triggers confetti","handleReveal: dynamic import canvas-confetti when state==blackjack","Static trace + build","PASS","None","N/A","BLOCKED: needs browser"
P5,21 Generator,"As a player, I can play again with fresh teams","playAgain resets state and router.refresh()","Static trace","PASS","None","N/A","BLOCKED: needs browser"
X1,Site,"As a visitor, the home page explains the game with a CTA","/ static hero + example lineup + how-it-works; CTAs to /entry and /scoreboard","Static trace + build","PASS","None","N/A","N/A"
X2,Site,"As a visitor, I can read the full rules","/rules static rule list matching scoring spec","Static trace","PASS","None","N/A","N/A"
X3,Site,"As a visitor, I can read the privacy note","/privacy static content","Static trace","PASS","None","N/A","N/A"
X4,Site,"As a mobile user, nav collapses into a hamburger","MobileNav md:hidden toggle + dropdown; inline nav hidden md:flex","Static trace","PASS","None","N/A","BLOCKED: needs viewport"
X5,Site,"As a visitor, the footer shows a JustGiving CTA only when configured","Footer justGivingUrl={env}; hidden when unset","Static trace","PASS","None","N/A","N/A"
X6,Site,"As a user hitting an error, I see a friendly recoverable page","app/error.tsx logs + 'Try again' (reset); not-found.tsx themed 404","Static trace + build","PASS","None","N/A","N/A"
X7,Site,"As a crawler, robots/sitemap are served","app/robots.ts + app/sitemap.ts","Static trace + build","PASS","None","N/A","N/A"
X8,Site,"As a user, responses carry security headers","next.config headers: XFO DENY, nosniff, Referrer-Policy, Permissions-Policy, CSP","Static trace + build","PASS","None","N/A","BLOCKED: verify headers at runtime"
